unique_id,icn,auctiondate,year,make,model,category,subcategory,location_state,location_city,starting_bid,reserve_price,hammer,buyers_premium,contract_price,reserve_met,seller_id,buyer_id,num_bids,region_id,district_id,territory_id,business_segment
1,QZ3982,2025-08-05,1998,John Deere,350G,Construction,Dozers,MO,Kansas City,14715,17922,46050,4605,50655,1,2005,1424,7,1,2,12,Enterprise
2,OY1238,2025-08-05,2015,Case IH,8250,Ag Equipment,Planters,TX,San Antonio,8267,12531,20947,2094,23041,1,2181,774,11,1,4,27,Core
3,DX0416,2025-08-05,2004,John Deere,6155R,Ag Equipment,Planters,MO,Kansas City,7864,10921,32846,3284,36130,1,2524,1702,15,1,3,18,Core
4,OM5207,2025-08-05,2023,Massey Ferguson,8737,Ag Equipment,Harvesters,OK,Broken Arrow,8632,13178,23057,2305,25362,1,2563,2537,10,1,4,31,Core
5,DE7762,2025-08-05,2016,Chevrolet,Silverado 3500,Truck/Trailer,Pickup Trucks,OH,Columbus,4578,5761,12014,1201,13215,1,2583,1706,12,1,1,1,Enterprise
6,OB5735,2025-08-05,1992,John Deere,7230R,Ag Equipment,Tractors,TX,Austin,10471,12970,25992,2599,28591,1,2289,667,4,1,1,4,Expansion
7,MW0160,2025-08-05,1995,New Holland,CR8.90,Ag Equipment,Tractors,OK,Tulsa,11625,10913,31455,3145,34600,1,2602,1566,12,1,2,9,Core
8,JV9365,2025-08-05,2006,Toyota,Highlander,Passenger,SUVs,AZ,Tucson,1040,1586,4348,434,4782,1,2133,1806,15,3,12,95,Expansion
9,KH7856,2025-08-05,2006,John Deere,X9 1100,Ag Equipment,Combines,NE,Omaha,9710,11532,20770,2077,22847,1,2071,1122,3,1,1,3,Enterprise
10,DL1819,2025-08-05,2016,Kenworth,W900,Truck/Trailer,Pickup Trucks,OK,Broken Arrow,4813,5759,19841,1984,21825,1,2325,59,5,1,2,14,Enterprise
11,KJ5571,2025-08-05,2001,Ford,Fusion,Passenger,Minivans,IN,Indianapolis,1309,1557,6113,611,6724,1,2467,1696,8,1,1,8,Enterprise
12,AJ2282,2025-08-05,2016,Massey Ferguson,8735,Ag Equipment,Harvesters,TX,Houston,9102,12423,19077,1907,20984,1,2423,1622,11,1,3,24,Core
13,AS9037,2025-08-05,1998,Ram,2500,Truck/Trailer,Semi Tractors,WA,Tacoma,4381,5791,8420,842,9262,1,2644,627,8,3,12,89,Core
14,VE0156,2025-08-05,1992,Chevrolet,Malibu,Passenger,Sedans,TX,San Antonio,1498,1720,2625,262,2887,1,2313,1847,2,1,2,15,Core
15,SY2493,2025-08-05,2008,Chevrolet,Silverado 3500,Truck/Trailer,Semi Tractors,IL,Peoria,4470,6044,8483,848,9331,1,2226,342,8,1,3,19,Expansion
16,LE2231,2025-08-05,2010,New Holland,CR10.90,Ag Equipment,Harvesters,CA,San Diego,11845,11942,28051,2805,30856,1,2185,1322,2,3,9,66,Core
17,VF0402,2025-08-05,1997,Ford,F-450,Truck/Trailer,Semi Tractors,TX,Houston,5138,7066,17959,1795,19754,1,2446,1302,2,1,1,7,Core
18,CU7274,2025-08-05,2010,Honda,Pilot,Passenger,Minivans,CO,Colorado Springs,1037,1673,6321,632,6953,1,2072,1925,8,3,9,70,Expansion
19,QR5244,2025-08-05,2007,Case IH,Magnum 340,Ag Equipment,Planters,SD,Rapid City,11274,10991,19138,1913,21051,1,2599,1693,6,1,3,19,Core
20,ZW5712,2025-08-05,2000,Freightliner,Columbia,Truck/Trailer,Dump Trucks,IA,Cedar Rapids,4630,6633,9731,973,10704,1,2373,1580,11,1,2,12,Expansion
21,XO2528,2025-08-05,2015,Ford,F-450,Truck/Trailer,Box Trucks,IL,Springfield,4204,6923,12078,1207,13285,1,2118,218,7,1,1,4,Core
22,MG1859,2025-08-05,2004,John Deere,210G,Construction,Skid Steers,KS,Overland Park,13954,19661,27522,2752,30274,1,2432,5,9,1,2,9,Enterprise
23,ZW1933,2025-08-05,2016,Case IH,1255,Ag Equipment,Planters,KS,Overland Park,8231,11293,27379,2737,30116,1,2642,1841,5,1,1,5,Enterprise
24,VD4038,2025-08-05,1993,Massey Ferguson,8737,Ag Equipment,Planters,IN,Indianapolis,8029,11707,15510,1551,17061,1,2223,1160,5,1,4,25,Core
25,RF1530,2025-08-05,2019,Toyota,RAV4,Passenger,Coupes,WI,Madison,1309,1705,4545,454,4999,1,2331,571,9,1,2,15,Expansion
26,VO6815,2025-08-05,2022,Peterbilt,579,Truck/Trailer,Pickup Trucks,TX,San Antonio,4222,5773,8896,889,9785,1,2342,399,12,1,3,18,Expansion
27,YM6361,2025-08-05,2016,Komatsu,D155,Construction,Dozers,MO,Kansas City,18599,19471,30595,3059,33654,1,2285,410,14,1,2,16,Enterprise
28,TZ8728,2025-08-05,2001,Freightliner,Cascadia,Truck/Trailer,Pickup Trucks,TX,Dallas,4949,5797,18899,1889,20788,1,2488,1326,12,1,1,8,Expansion
29,UL6851,2025-08-05,2023,Komatsu,D65,Construction,Dozers,MO,Columbia,19279,21380,41411,4141,45552,1,2517,565,5,1,3,22,Enterprise
30,XB2837,2025-08-05,1993,Toyota,Highlander,Passenger,Sedans,IA,Cedar Rapids,1269,1734,2245,224,2469,1,2186,1371,4,1,1,6,Core
31,BT6441,2025-08-05,2018,Ford,F-250,Truck/Trailer,Semi Tractors,TX,Austin,4107,7184,11214,1121,12335,1,2566,1975,2,1,4,25,Enterprise
32,BJ6226,2025-08-05,2020,John Deere,8370R,Ag Equipment,Tractors,GA,Augusta,7965,10813,16856,1685,18541,1,2185,1158,11,2,6,48,Core
33,HP4830,2025-08-05,2003,Peterbilt,348,Truck/Trailer,Pickup Trucks,TX,Dallas,5107,6169,17637,1763,19400,1,2087,245,7,1,4,29,Core
34,TY1079,2025-08-05,1995,Kenworth,W900,Truck/Trailer,Box Trucks,CA,Sacramento,6327,7174,16501,1650,18151,1,2391,1915,4,3,11,83,Core
35,XO9427,2025-08-05,2006,Toyota,Highlander,Passenger,Coupes,TX,Dallas,1037,1583,5933,593,6526,1,2070,1133,14,1,2,15,Core
36,US9356,2025-08-05,1999,Toyota,RAV4,Passenger,Minivans,MI,Detroit,1153,1702,2209,220,2429,1,2524,2582,7,1,1,4,Core
37,LK5815,2025-08-05,2016,Peterbilt,579,Truck/Trailer,Semi Tractors,GA,Atlanta,5482,5763,13766,1376,15142,1,2496,944,11,2,5,38,Expansion
38,TS5851,2025-08-05,1990,Toyota,Camry,Passenger,Sedans,WA,Tacoma,1363,1629,5349,534,5883,1,2479,552,10,3,12,95,Core
39,TA9957,2025-08-05,1990,Ram,2500,Truck/Trailer,Dump Trucks,MO,St Louis,4948,6964,12565,1256,13821,1,2212,2584,8,1,2,10,Core
40,YQ2582,2025-08-05,2002,Ford,F-350,Truck/Trailer,Dump Trucks,MN,Minneapolis,4411,7044,16540,1654,18194,1,2572,146,5,1,3,20,Core
41,RM6552,2025-08-05,2004,Freightliner,Columbia,Truck/Trailer,Semi Tractors,MI,Lansing,5983,6686,18763,1876,20639,1,2238,1197,2,1,2,13,Enterprise
42,FW4536,2025-08-05,2016,Peterbilt,579,Truck/Trailer,Semi Tractors,OK,Broken Arrow,5687,7007,11847,1184,13031,1,2275,2579,7,1,1,5,Core
43,WF8932,2025-08-05,2005,John Deere,6155R,Ag Equipment,Planters,FL,Tampa,11748,11362,26865,2686,29551,1,2549,1621,1,2,6,43,Core
44,RD7200,2025-08-05,2016,New Holland,T7.270,Ag Equipment,Planters,NE,Omaha,9384,13086,23103,2310,25413,1,2127,1548,1,1,1,5,Core
45,JL2422,2025-08-05,2024,Peterbilt,348,Truck/Trailer,Dump Trucks,TX,Austin,5237,6161,15518,1551,17069,1,2271,1931,9,1,2,10,Expansion
46,WG2544,2025-08-05,2005,Peterbilt,567,Truck/Trailer,Pickup Trucks,IN,Indianapolis,5686,6237,13535,1353,14888,1,2330,1666,6,1,2,9,Expansion
47,PJ6152,2025-08-05,2013,Peterbilt,348,Truck/Trailer,Box Trucks,GA,Augusta,5215,5840,15134,1513,16647,1,2536,1321,9,2,7,53,Core
48,HG1757,2025-08-05,2011,Ford,Explorer,Passenger,Minivans,OK,Broken Arrow,1412,1530,6596,659,7255,1,2098,887,10,1,2,10,Core
49,EW8734,2025-08-05,2002,Honda,Pilot,Passenger,Minivans,NY,New York,1573,1626,6014,601,6615,1,2430,1427,7,2,7,50,Core
50,SE8081,2025-08-05,2018,Chevrolet,Malibu,Passenger,Coupes,CA,Sacramento,1484,1783,7304,730,8034,1,2644,628,11,3,9,65,Core
